
2025/02/21 (21:06:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/21 (21:06:43) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/21 (21:06:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/21 (21:06:43) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/21 (21:06:43) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/21 (21:06:43) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/22 (22:44:10) | ===> btop++ v.1.4.0
2025/02/22 (22:44:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/22 (22:44:10) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/22 (22:44:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/22 (22:44:10) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/22 (22:44:10) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/22 (22:44:10) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/22 (23:33:32) | ===> btop++ v.1.4.0
2025/02/22 (23:33:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/22 (23:33:32) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/22 (23:33:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/22 (23:33:32) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/22 (23:33:32) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/22 (23:33:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/22 (23:38:29) | ===> btop++ v.1.4.0
2025/02/22 (23:38:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/22 (23:38:29) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/22 (23:38:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/22 (23:38:29) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/22 (23:38:29) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/22 (23:38:29) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/23 (03:56:00) | ===> btop++ v.1.4.0
2025/02/23 (03:56:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/23 (03:56:00) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/23 (03:56:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/23 (03:56:00) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/23 (03:56:00) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/23 (03:56:00) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/23 (14:43:44) | ===> btop++ v.1.4.0
2025/02/23 (14:43:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/23 (14:43:44) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/23 (14:43:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/23 (14:43:44) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/23 (14:43:44) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/23 (14:43:44) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/23 (14:48:28) | ===> btop++ v.1.4.0
2025/02/23 (14:48:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/23 (14:48:28) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/23 (14:48:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/23 (14:48:28) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/23 (14:48:28) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/23 (14:48:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/23 (15:05:49) | ===> btop++ v.1.4.0
2025/02/23 (15:05:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/23 (15:05:49) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/23 (15:05:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/23 (15:05:49) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/23 (15:05:49) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/23 (15:05:49) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/23 (15:06:46) | WARNING: Failed to join _runner thread on exit!

2025/02/23 (15:10:09) | ===> btop++ v.1.4.0
2025/02/23 (15:10:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/23 (15:10:09) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/23 (15:10:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/23 (15:10:09) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/23 (15:10:09) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/23 (15:10:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/23 (15:28:28) | ===> btop++ v.1.4.0
2025/02/23 (15:28:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/23 (15:28:28) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/23 (15:28:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/23 (15:28:28) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/23 (15:28:28) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/23 (15:28:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/23 (15:39:59) | ===> btop++ v.1.4.0
2025/02/23 (15:39:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/23 (15:39:59) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/23 (15:39:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/23 (15:39:59) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/23 (15:39:59) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/23 (15:39:59) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/23 (15:40:31) | WARNING: Failed to join _runner thread on exit!

2025/02/23 (15:40:59) | ===> btop++ v.1.4.0
2025/02/23 (15:40:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/23 (15:40:59) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/23 (15:40:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/23 (15:40:59) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/23 (15:40:59) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/23 (15:40:59) | WARNING: ROCm SMI: Failed to get PCIe throughput
